Feature,Importance
Time Diff between first and last (Mins),0.09542032347028237
total ether received,0.07833101225852517
Unique Received From Addresses,0.07467027276702114
avg val received,0.06705917365332387
ERC20 min val rec,0.06561423582732803
max value received,0.06541584805036998
total transactions (including tnx to create contract,0.05455339393537423
Avg min between received tnx,0.051466757121182545
total ether balance,0.04334598442425109
Received Tnx,0.038253961966019094
min val sent,0.03283246348244787
total Ether sent,0.030454083310560296
min value received,0.028916977273492333
Sent tnx,0.026667911768636674
avg val sent,0.025639653909939757
ERC20 total Ether received,0.024987209797078042
ERC20 max val rec,0.024140190625691994
Avg min between sent tnx,0.02368331052605811
max val sent,0.023319628401782762
Total ERC20 tnxs,0.019334260748887406
ERC20 avg val rec,0.01809208038378305
ERC20 uniq rec addr,0.014246786565308091
ERC20 uniq rec contract addr,0.013222192904193469
ERC20 uniq rec token name,0.009913696246110899
Unique Sent To Addresses,0.009329611295961234
ERC20 uniq sent token name,0.007765094516881341
ERC20 total ether sent,0.0068081830858537085
Number of Created Contracts,0.006242959676878227
ERC20 uniq sent addr,0.006115773131567696
ERC20 avg val sent,0.005237175643266592
ERC20 max val sent,0.004808444869668476
ERC20 min val sent,0.0037092374651011614
ERC20 total Ether sent contract,0.00021400541456282742
ERC20 uniq sent addr.1,0.00018207141188856518
max val sent to contract,3.448484685363621e-06
total ether sent contracts,2.5855860365967525e-06
min value sent to contract,0.0
avg value sent to contract,0.0
ERC20 avg time between sent tnx,0.0
ERC20 avg time between rec tnx,0.0
ERC20 avg time between rec 2 tnx,0.0
ERC20 avg time between contract tnx,0.0
ERC20 min val sent contract,0.0
ERC20 avg val sent contract,0.0
ERC20 max val sent contract,0.0
