Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq sent addr.1,ERC20 uniq rec contract addr,ERC20 avg time between sent tnx,ERC20 avg time between rec tnx,ERC20 avg time between rec 2 tnx,ERC20 avg time between contract tnx,ERC20 min val rec,ERC20 max val rec,ERC20 avg val rec,ERC20 min val sent,ERC20 max val sent,ERC20 avg val sent,ERC20 min val sent contract,ERC20 max val sent contract,ERC20 avg val sent contract,ERC20 uniq sent token name,ERC20 uniq rec token name
14.27,847.93,1727478.58,1978,2004,0,11,3,0.010018,81.322676,4.690398,0.112279,81.321485,4.751224,0.0,0.0,0.0,3982,9397.920647,9399.557032,0.0,1.636385026,2.0,100.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5.98,0.0,17.93,3,2,0,2,3,837.222019,1163.777981,1000.5,0.005042,1632.14916,666.999528,0.0,0.0,0.0,5,2000.998585,2001.0,0.0,0.001414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.63,3319.39,10032.05,3,3,0,3,1,0.04,10.805,5.281667,0.038953,10.80458,5.281031,0.0,0.0,0.0,6,15.84309204,15.845,0.0,0.001907957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.17,0.0,66.52,3,1,0,1,3,101.0,101.0,101.0,5.58,53.724214,33.666149,0.0,0.0,0.0,4,100.998446,101.0,0.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.32,814.78,1613147.68,1907,1944,0,10,3,0.006949,223.819293,3.489936,0.62158,223.818015,3.556806,0.0,0.0,0.0,3851,6782.828745999999,6784.436291,0.0,1.607545086,4.0,1553031566.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1553031446.0,388257891.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,5.92,1,1,0,1,1,4.6666,4.6666,4.6666,4.66576,4.66576,4.66576,0.0,0.0,0.0,2,4.66576,4.6666,0.0,0.00084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45814.78,0.0,91629.55,2,1,0,1,2,0.025,0.025,0.025,0.0,0.024003,0.012002,0.0,0.0,0.0,3,0.024003175,0.025,0.0,0.000996825,2.0,462.21,462.21,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,462.21,462.21,462.21,462.21,462.21,462.21,0.0,0.0,0.0,1.0,1.0
0.86,30007.36,60016.43,2,2,0,2,2,0.362477,3.395,1.878738,0.361637,3.39416,1.877898,0.0,0.0,0.0,4,3.755796793,3.757476793,0.0,0.00168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14552.41,5103.36,138348.05,6,10,0,8,6,0.0,0.3,0.04571,0.033273,0.15,0.0751169999999999,0.0,0.0,0.0,16,0.4507014,0.4571,0.0,0.0063986,3.0,113.38,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.01,100.0,37.793333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1939.62,3434.53,51035.7,21,3,0,3,5,0.01,6.318,2.176,0.0,9.61,1.400857,0.0,0.0,0.0,24,29.418000000000006,6.528,0.0,-22.89,6.0,36.61206874,36.61203433,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.306034,12.204023,0.306034,18.306,12.204011,0.0,0.0,0.0,1.0,2.0
