lambda,delta,spearman,containment,false_alarm
0.3,0,0.704,73.55,0.18
0.3,5,0.7038,73.55,0.18
0.3,10,0.7035,73.55,0.21
0.3,15,0.703,73.6,0.21
0.3,20,0.7025,73.64,0.22
0.3,25,0.7019,73.64,0.22
0.5,0,0.7125,77.69,0.05
0.5,5,0.7123,77.78,0.07
0.5,10,0.7118,77.83,0.07
0.5,15,0.7114,78.01,0.07
0.5,20,0.7109,78.15,0.08
0.5,25,0.7103,78.15,0.08
0.6,0,0.7143,79.99,0.03
0.6,5,0.714,80.31,0.03
0.6,10,0.7136,80.54,0.04
0.6,15,0.713,80.73,0.04
0.6,20,0.7125,80.73,0.04
0.6,25,0.7119,80.82,0.05
0.7,0,0.7151,83.62,0.04
0.7,5,0.7149,83.85,0.05
0.7,10,0.7144,83.85,0.05
0.7,15,0.7138,83.95,0.07
0.7,20,0.7132,83.99,0.07
0.7,25,0.7127,84.04,0.07
0.8,0,0.7156,87.76,0.04
0.8,5,0.7154,87.81,0.05
0.8,10,0.7148,87.86,0.05
0.8,15,0.7143,87.9,0.05
0.8,20,0.7136,87.99,0.07
0.8,25,0.713,87.99,0.07
0.9,0,0.7159,92.09,0.04
0.9,5,0.7157,92.13,0.04
0.9,10,0.7151,92.23,0.05
0.9,15,0.7145,92.27,0.05
0.9,20,0.7138,92.27,0.07
0.9,25,0.713,92.27,0.07
1.0,0,0.716,93.7,0.05
1.0,5,0.7158,93.74,0.05
1.0,10,0.7152,93.84,0.07
1.0,15,0.7146,93.84,0.07
1.0,20,0.7137,93.84,0.07
1.0,25,0.7129,93.88,0.09
